iter	Passed	Remaining
309	4906	10921
310	4920	10901
311	4935	10882
312	4949	10864
313	4964	10845
314	4979	10829
315	4995	10812
316	5009	10794
317	5024	10776
318	5040	10759
319	5055	10742
320	5071	10728
321	5087	10712
322	5102	10695
323	5117	10676
324	5133	10662
325	5149	10646
326	5166	10632
327	5181	10614
328	5195	10596
329	5211	10580
330	5229	10569
331	5245	10554
332	5260	10537
333	5274	10518
334	5289	10499
335	5303	10480
336	5320	10466
337	5334	10447
338	5350	10433
339	5366	10418
340	5382	10401
341	5397	10385
342	5412	10368
343	5427	10349
344	5442	10333
345	5458	10318
346	5475	10304
347	5490	10287
348	5506	10270
349	5522	10255
350	5537	10239
351	5552	10221
352	5568	10206
353	5583	10189
354	5599	10174
355	5615	10159
356	5631	10142
357	5646	10125
358	5661	10107
359	5677	10093
360	5691	10074
361	5707	10059
362	5723	10044
363	5738	10026
364	5757	10015
365	5773	10001
366	5790	9987
367	5806	9971
368	5821	9955
369	5836	9938
370	5852	9923
371	5868	9906
372	5883	9889
373	5899	9874
374	5915	9859
375	5931	9843
376	5945	9824
377	5959	9806
378	5974	9789
379	5988	9770
380	6002	9752
381	6018	9736
382	6034	9720
383	6050	9706
384	6067	9691
385	6083	9676
386	6097	9658
387	6114	9644
388	6129	9628
389	6146	9614
390	6160	9595
391	6175	9578
392	6190	9561
393	6207	9547
394	6223	9532
395	6239	9516
396	6254	9499
397	6271	9485
398	6287	9470
399	6303	9454
400	6319	9439
401	6343	9436
402	6374	9443
403	6400	9442
404	6416	9426
405	6430	9408
